Categorisation,Subcategories,Barcode,Name,Form,Product code ,SDS,Cas_No1,"Content1
(% )",Cas_No2,"Content2
(% )",Cas_No3,"Content3
(% )",Cas_No4,"Content4
(% )",Cas_No5,"Content5
(% )",Cas_No6,"Content6
(% )",Cas_No7,"Content7
(% )",Cas_No8,"Content8
(% )",Cas_No9,"Content9
(% )",Cas_No10,"Content10
(% )",Cas_No11,"Content11
(% )",Cas_No12,"Content12
(% )"
Dishwashing products?(46),Dishwasher Detergent?(11),7.6154E+12,Dishwasher Detergent Alu l10 aluminium safe in sealed recyclable packaging for safepack system 10 litres,,MFD682,https://media.supplychain.nhs.uk/media/documents/MFD682/Marketing/72893_MFD682.pdf,Unknown,10 to 20,14860-53-8,1 to 3,,,,,,,,,,,,,,,,,,,,
Hard surface cleaning products(18),Hard Surface Cleaner (14),5.01016E+12,Hard Surface Cleaner Hospec lemon scented 5 litre concentrate ,Liquid,MFD688 ,https://media.supplychain.nhs.uk/media/documents/MFD688/COSHH/68069_MFD688.pdf,138-86-3,0 to 2.5,2634-33-5,0 to 2.5,,,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Cream Cleanser (3),,Cream Cleanser Evans 500ml bottle ,Liquid,MFD689 ,https://media.supplychain.nhs.uk/media/documents/MFD689/COSHH/66213_MFD689.pdf,68131-39-5,0.1 to 1,25155-30-0,0.1 to 1,68603-42-9,0.1 to 1,2634-33-5,<0.1,,,,,,,,,,,,,,,,
Dishwashing products?(46),Dishwasher tablets?(2),,Dishwasher tablets 5 in 1 Individually Wrapped Detergent Salt Action Rinse Aid and Glass Glaze Protection Pack of 120,,MFD695,https://media.supplychain.nhs.uk/media/documents/MFD695/COSHH/64836_MFD695.pdf,497-19-8,30 to 60,15630-89-4,10 to 15,,5 to 10,69227-21-0 ,1 to 3,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Cream Cleanser (3),,Cream Cleanser Removes grease and dirt on all hard surfaces can be used in kitchens and washrooms ,Liquid,MFD711 ,https://media.supplychain.nhs.uk/media/documents/MFD711/COSHH/70642_MFD711.pdf,97489-15-1,0 to 2.5,61827-42-7 ,0 to 2.5,,,,,,,,,,,,,,,,,,,,
Dishwashing products?(46),Washing up liquid?(17),5.01016E+12,Washing up liquid Ph neutral liquid detergent general purpose concentrated for manual use,-,MFD713,https://media.supplychain.nhs.uk/media/documents/MFD713/COSHH/70643_MFD713.pdf,68891-38-3 ,2.5 to 10,,,,,,,,,,,,,,,,,,,,,,
Hard surface cleaning products(18),Hard Surface Cleaner (14),5.03001E+12,Hard Surface Cleaner Limelite spray for removal of limescale 500 ml ,Liquid,MFD715 ,https://media.supplychain.nhs.uk/media/documents/MFD715/COSHH/70667_MFD715.PDF,64-18-6,2 to 3,77-92-9,1 to 5,,,,,,,,,,,,,,,,,,,,
Dishwashing products?(46),Washing up liquid?(17),5.01016E+12,Washing up liquid Concentrated for manual use,-,MFD716,https://media.supplychain.nhs.uk/media/documents/MFD716/COSHH/70644_MFD716.pdf,68439-57-6?,2.5 to 10,68891-38-3,2.5 to 10,61789-40-0,2.5 to 10,,,,,,,,,,,,,,,,,,
Hard surface cleaning products(18),Hard Surface Cleaner (14),5.01016E+12,Hard Surface Cleaner Janitorial kitchen use all purpose cleaner for hard surfaces 750 ml ,Liquid,MFD717 ,https://media.supplychain.nhs.uk/media/documents/MFD717/COSHH/70710_MFD717%20M.S.D.S.pdf,67-63-0,2.5 to 10,55965-84-9,0 to 2.5,,,,,,,,,,,,,,,,,,,,
Dishwashing products?(46),Washing up liquid?(17),,Washing up liquid Ph neutral liquid detergent general purpose concentrated for manual use,-,MFD718,https://media.supplychain.nhs.uk/media/documents/MFD718/COSHH/70711_MFD718%20M.S.D.S.pdf,68891-38-3 ,0 to 2.5,68439-57-6?,0 to 2.5,61789-40-0,0 to 2.5,,,,,,,,,,,,,,,,,,
Hard surface cleaning products(18),Hard Surface Cleaner (14),5.01016E+12,Hard Surface Cleaner General concentrated janitorial kitchen use all purpose cleaner 5 Ltr ,Liquid,MFD720 ,https://media.supplychain.nhs.uk/media/documents/MFD720/COSHH/70712_MFD720%20M.S.D.S.pdf,138-86-3,0 to 2.5,2634-33-5 ,0 to 2.5,,,,,,,,,,,,,,,,,,,,
Hard surface cleaning products(18),All Purpose Cleaner (3),5.01016E+12,All Purpose Cleaner Cleaner degreaser for bucket spray & automatic cleaning equipment tiles walls work surfaces & kitchen cleaning equipment ,Solid,MFD722 ,https://media.supplychain.nhs.uk/media/documents/MFD722/COSHH/70645_MFD722.pdf,68439-46-3,0 to 2.5,160875-66-1,0 to 2.5,2634-33-5,0 to 2.5,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Glass cleaner (5),5.01016E+12,Glass cleaner Multi Surface and Glass Spray Professional 750ml,Liquid,MFD723,https://media.supplychain.nhs.uk/media/documents/MFD723/COSHH/70648_MFD723%20M.S.D.S.pdf,5131-66-8 ,1 to 5,64-17-5 ,1 to 5,,,,,,,,,,,,,,,,,,,,
Dishwashing products?(46),Dishwasher tablets?(2),5.01016E+12,Dishwasher tablets 5 in 1 dishwasher detergent tablets concentrated machine washing detergent for all water areas phosphate free 100 tablets,,MFD725,https://media.supplychain.nhs.uk/media/documents/MFD725/COSHH/71607_MFD725.pdf,497-19-8,25 to 50,15630-89-4,10 to 25,1344-09-8,2.5 to 10,3794-83-0,2.5 to 10,68439-51-0,2.5 to 10,7775-19-1,0 to 2.5,,,,,,,,,,,,
Hard surface cleaning products(18),All Purpose Cleaner (3),5.01016E+12,All Purpose Cleaner Hospec cleaner and degreaser 5 litre concentrate ,Solid,MFD726 ,https://media.supplychain.nhs.uk/media/documents/MFD726/COSHH/58684_MFD726.pdf,68439-46-3,0 to 2.5,160875-66-1,0 to 2.5,2634-33-5,0 to 2.5,,,,,,,,,,,,,,,,,,
Catering hygiene products?(7),Degreaser (3),7.6154E+12,Degreaser Extend d3 2 ltr ,Liquid,MFF026 ,https://media.supplychain.nhs.uk/media/documents/MFF026/COSHH/59853_MFF026.pdf,111-76-2,3 to 10,497-19-8,1 to 3,,,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Toilet Cleaner (18),,Toilet Cleaner For Frequent use in Hard and Soft Water Areas Angled Neck 1ltr Bottle Toilet Cleaner and Descaler ,Liquid,MFF035 ,https://media.supplychain.nhs.uk/media/documents/MFF035/COSHH/56785_MFF035.pdf,7664-38-2?,3 to 5,68439-45-2?,1 to 3,68424-85-1,1 to 3,,,,,,,,,,,,,,,,,,
Catering hygiene products?(7),Descaler (1),7.6154E+12,Descaler Calc d5 2 ltr ,Liquid,MFF037 ,https://media.supplychain.nhs.uk/media/documents/MFF037/COSHH/59854_MFF037.pdf,7664-38-2,30 to 50,,,,,,,,,,,,,,,,,,,,,,
Catering hygiene products?(7),Degreaser (3),7.6154E+12,Degreaser Force d3.5 heavy duty 5 ltr concentrate ,Liquid,MFF055 ,https://media.supplychain.nhs.uk/media/documents/MFF055/COSHH/59208_MFF055.pdf,1344-09-8,3 to 10,90194-45-9,1 to 3,15763-76-5,,68439-46-3,1 to 3,Unknown,1 to 3,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Toilet Cleaner (18),,Toilet Cleaner R6 heavy duty effective descaler 750ml angled neck bottle ,Liquid,MFF061 ,https://media.supplychain.nhs.uk/media/documents/MFF061/COSHH/59874_MFF061.pdf,7647-01-0,3 to 10,8030-78-2,1 to 3,57-55-6,1 to 3,22629-49-8,<0.01,,,,,,,,,,,,,,,,
Hard surface cleaning products(18),All Purpose Cleaner (3),7.6154E+12,All Purpose Cleaner Multi d2 for all surfaces (for use with mle645 pelican pump) 5 ltr concentrate ,Liquid,MFF169 ,https://media.supplychain.nhs.uk/media/documents/MFF169/COSHH/65008_MFF169.pdf,69011-36-5,3 to 10,90194-45-9,1 to 3,2634-33-5,0.01 to 0.1,,,,,,,,,,,,,,,,,,
Floor care products?(36),Floor Cleaner (15),7.6154E+12,Floor Cleaner Taski tensol 2x5l W1779 ,Liquid,MFP006 ,https://media.supplychain.nhs.uk/media/documents/MFP006/COSHH/66368_MFP006.pdf,67-63-0,3 to 10,111905-53-4,3 to 10,107-21-1,3 to 10,2634-33-5,0.01 to 0.1,,,,,,,,,,,,,,,,
Floor care products?(36),Floor polish stripper (3),7.6154E+12,Floor polish stripper Futur heavy duty 5 ltr concentrate ,Liquid,MFP012 ,https://media.supplychain.nhs.uk/media/documents/MFP012/COSHH/66335_MFP012.pdf,1310-73-2,3 to 10,141-43-5,3 to 10,15763-76-5,1 to 3,111-76-2,1 to 3,196823-11-7,1 to 3,,,,,,,,,,,,,,
Floor care products?(36),Floor Maintainer (2),5.0002E+12,Floor Maintainer Helps maintain glossy floors 5 ltr ,Liquid,MFP014 ,https://media.supplychain.nhs.uk/media/documents/MFP014/COSHH/59855_MFP014.pdf,68439-46-3,3 to 10,55965-84-9,<0.01,,,,,,,,,,,,,,,,,,,,
Floor care products?(36),Floor Polish (4),5.0002E+12,Floor Polish Eternum can be burnished to a high shine 5 ltr ,Liquid,MFP040 ,https://media.supplychain.nhs.uk/media/documents/MFP040/COSHH/59856_MFP040.pdf,34590-94-8,3 to 10,68131-39-5,0.1 to 1,1336-21-6,0.01 to 0.1,55965-84-9,<0.01,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Furniture Polish (4),,Furniture Polish Wood polish natural dust & protect 400ml aerosol ,Liquid,MFP050 ,https://media.supplychain.nhs.uk/media/documents/MFP050/COSHH/59814_MFP050.pdf,64742-48-9,10 to 20,67-56-1,0.1 to 1,52-51-7,0.01 to 0.1,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Furniture Polish (4),,Furniture Polish Wood polish for all sealed surfaces 750ml trigger bottle ,Liquid,MFP052 ,https://media.supplychain.nhs.uk/media/documents/MFP052/Marketing/66353_MFP052%20data%20sheet.pdf,90622-57-4,10 to 20,64425-86-1,0.1 to 1,2634-33-5,0.01 to 0.1,,,,,,,,,,,,,,,,,,
Floor care products?(36),Floor Polish (4),8.7118E+12,Floor Polish Emulsion metallised formulation which dries bright and provides a long lasting durable high gloss finish 5 litre ,Liquid,MFP106 ,https://media.supplychain.nhs.uk/media/documents/MFP106/COSHH/59859_MFP106.pdf,34590-94-8,1 to 3,68131-39-5,0.1 to 1,1336-21-6,0.01 to 0.1,55965-84-9,<0.01,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Furniture Polish (4),,Furniture Polish R4 trigger spray 750ml ,Liquid,MFP132 ,https://media.supplychain.nhs.uk/media/documents/MFP132/COSHH/66370_MFP132.pdf,Unknown,10 to 20,8042-47-5,3 to 10,64425-86-1,0.1 to 1,68439-50-9,0.1 to 1,2634-33-5,0.01 to 0.1,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Furniture Polish (4),,Furniture Polish E.S.P Aerosol 400ml ,Aerosol,MFP204 ,https://media.supplychain.nhs.uk/media/documents/MFP204/COSHH/59298_MFP204.pdf,106-97-8,15 to 20,64742-47-8,15 to 20,,,,,,,,,,,,,,,,,,,,
Floor care products?(36),Hard Surface Cleaner (1),,Hard Surface Cleaner Evans Lemon Gel PH neutral thick gel for spray cleaning and mopping 5ltr concentrate ,Gel,MFP214 ,https://media.supplychain.nhs.uk/media/documents/MFP214/COSHH/56874_MFP214.pdf,68411-30-3,5 to 10,8000-41-7,5 to 10,5989-27-5,0.1 to 1,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Floor cleaner (8),7.6154E+12,Floor cleaner Neutral low foam floor detergent,Liquid,MFP387,https://media.supplychain.nhs.uk/media/documents/MFP387/COSHH/59800_MFP387.pdf,111905-53-4,1 to 3,111-30-8,0.01 to 0.1,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Furniture polish (3),,Furniture polish Polish furniture trigger spray pro shine special concentrated furniture polish and protector for wood painted and polished surfaces 5l,Emulsion,MFP398,https://media.supplychain.nhs.uk/media/documents/MFP398/COSHH/55465_MFP398.pdf,8042-47-5 ,10 to 20,68951-67-7 ,1 to 2.5,,,,,,,,,,,,,,,,,,,,
Floor care products?(36),Floor polish stripper (3),7.6154E+12,Floor polish stripper Quick removal of all emulsion and metallised polishes suitable for use on sealed wood 5 litres coverage rate per 5l 1000 square metres ,Liquid,MFP452 ,https://media.supplychain.nhs.uk/media/documents/MFP452/COSHH/59910_MFP452.pdf,1310-73-2,3 to 10,141-43-5,3 to 10,15763-76-5,1 to 3,111-76-2,1 to 3,196823-11-7,1 to 3,,,,,,,,,,,,,,
Floor care products?(36),Carpet Cleaner (8),8.7118E+12,Carpet Cleaner Trigger spray 750ml ,Liquid,MFR005 ,https://media.supplychain.nhs.uk/media/documents/MFR005/COSHH/66266_MFR005.pdf,85586-07-8,1 to 3,,,,,,,,,,,,,,,,,,,,,,
Floor care products?(36),Heavy duty cleaner (1),7.6154E+12,Heavy duty cleaner Graffiti/Chewing Gum/Adhesive Remover Spray 750ml ,Liquid,MFR008 ,https://media.supplychain.nhs.uk/media/documents/MFR008/COSHH/58855_MFR008.pdf,111-76-2 ,3 to 10,141-43-5,1 to 3,1300-72-7,1 to 3,1964-02-08,1 to 3,68439-46-3,1 to 3,,,,,,,,,,,,,,
Detergents disinfectants and laundry consumables?(24),Spill kit?(7),5.06022E+12,Spill kit Cytotoxic quickbag containing 2ppe sets 1 liquid clean up set 1 powder clean up set 1 decontamination set 1 waste disposal set 1 warning sign 1 report and management sheet,-,MJZ000,"https://media.supplychain.nhs.uk/media/documents/MFD636/COSHH/59799_MFD636.pdf
https://media.supplychain.nhs.uk/media/documents/MFD636/COSHH/73580_MFD636.pdf",111905-53-4,3 to 10,77-92-9,3 to 10,120313-48-6,1 to 3,15763-76-5,1 to 3,,,,,,,,,,,,,,,,
Detergents disinfectants and laundry consumables?(24),Spill kit blood vomit or urine (1),5.06022E+12,Spill kit blood vomit or urine Yellow case containing 2 x blood spill pack,-,MJZ002,"https://media.supplychain.nhs.uk/media/documents/MJZ002/COSHH/64985_MJZ002.pdf
https://media.supplychain.nhs.uk/media/documents/MJZ002/COSHH/64986_MJZ002_.pdf
https://media.supplychain.nhs.uk/media/documents/MJZ002/COSHH/64987_MJZ002_1.pdf",2893-78-9,30 to 60,124-04-9,10to 30,497-19-8,1 to 5,,,,,,,,,,,,,,,,,,
Detergents disinfectants and laundry consumables?(24),Spill kit blood pack refill (1),5.06022E+12,Spill kit blood pack refill Containing 1 x disposable gloves,-,MJZ003,"https://media.supplychain.nhs.uk/media/documents/MJZ003/COSHH/64989_MJZ003.pdf
https://media.supplychain.nhs.uk/media/documents/MJZ003/COSHH/64990_MJZ003_.pdf",2893-78-9,30 to 60,124-04-9,10to 30,497-19-8,1 to 5,,,,,,,,,,,,,,,,,,
Detergents disinfectants and laundry consumables?(24),Spill kit vomit or urine pack refill (1),5.06022E+12,Spill kit vomit or urine pack refill Containing 1 x disposable gloves,-,MJZ004,"https://media.supplychain.nhs.uk/media/documents/MJZ004/COSHH/66422_MJZ004.pdf
https://media.supplychain.nhs.uk/media/documents/MJZ004/COSHH/66423_MJZ004_.pdf",67-63-0,70,,,,,,,,,,,,,,,,,,,,,,
Detergents disinfectants and laundry consumables?(24),Containment Kit Infection Control (1),5.06022E+12,Containment Kit Infection Control Full refill for complete protection packed in a clear bag,-,MJZ009,"https://media.supplychain.nhs.uk/media/documents/MJZ009/COSHH/30177_MJZ009_MSDS.pdf
https://media.supplychain.nhs.uk/media/documents/MJZ009/COSHH/66424_MJZ009.pdf",Unknown,<1,Unknown,<1,67-63-0,70,,,,,,,,,,,,,,,,,,
Detergents disinfectants and laundry consumables?(24),Spill kit?(7),,Spill kit Cytotoxic single use pack containing 1 x shaker ct-zorb granules 1 x scoop and scraper 1 surface wipe 1 disposal bag 1 hazard warning sticker 1 anti-splash face mask 1 protective apron 1 pair nitrile protective gloves and illustrated instructions,-,MJZ015,https://media.supplychain.nhs.uk/media/documents/MJZ015/COSHH/64992_MJZ015.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Detergents disinfectants and laundry consumables?(24),Spill kit?(7),,Spill kit Mini biohazard 2 single use packs containing 1 blood spill pack (MJZ003) and 1 vomit/urine pack (MJZ004) wall mounting and posters,-,MJZ016,"https://media.supplychain.nhs.uk/media/documents/MJZ016/COSHH/64993_MJZ016.pdf
https://media.supplychain.nhs.uk/media/documents/MJZ016/COSHH/64994_MJZ016_.pdf
https://media.supplychain.nhs.uk/media/documents/MJZ016/COSHH/64995_MJZ016_1.pdf",2893-78-9,30 to 60,124-04-9,10to 30,497-19-8,1 to 5,,,,,,,,,,,,,,,,,,
Detergents disinfectants and laundry consumables?(24),Spill kit?(7),,Spill kit Multi biohazard for 25 spillages multi use containing gloves aprons scoops scrapers 100 hazard tablets diluter 2 x 500g tubs of hazard tablet granules in a yellow case with record card and instructions,-,MJZ017,"https://media.supplychain.nhs.uk/media/documents/MJZ017/COSHH/32720_MJZ017.pdf
https://media.supplychain.nhs.uk/media/documents/MJZ017/COSHH/32721_MJZ017_1.pdf
https://media.supplychain.nhs.uk/media/documents/MJZ017/COSHH/64996_MJZ017_.pdf",2893-78-9,30 to 60,124-04-9,10to 30,497-19-8,1 to 5,,,,,,,,,,,,,,,,,,
Detergents disinfectants and laundry consumables?(24),Spill kit?(7),,Spill kit Mini biohazard for 10 spillages containing gloves aprons scoops scrapers 100 hazard tablets diluter 500g tubs of hazard tablet granules in a yellow case with record card instructions and a wall mount,-,MJZ018,https://media.supplychain.nhs.uk/media/documents/MJZ018/COSHH/64997_MJZ018.pdf,2893-78-9,30 to 60,,,,,,,,,,,,,,,,,,,,,,
Detergents disinfectants and laundry consumables?(24),Spill kit?(7),,Spill kit Chemical single use pack for chemical spills up to 1 litre containing 1 nitrile gloves 1 apron or thumb loop gown 1 face mask/eye shield 1 pack surface disinfection wipes 1 disposal bag 2 absorbent pads 1 tweezers and easy to use instructions,-,MJZ019,,,,,,,,,,,,,,,,,,,,,,,,,
Detergents disinfectants and laundry consumables?(24),Spill kit body (1),,Spill kit body Urine & vomit spill kit blue case contains 1 x 250g biocide absorbent granules 1 x 250ml biocide spray 6 x pairs of nitrile gloves 6 x disinfectant surface wipes 6 x scoops/scrapers 6 x waste bags 6 x aprons 1 x instruction poster 1 wall bracket,-,MJZ020,"https://media.supplychain.nhs.uk/media/documents/MJZ020/COSHH/66425_MJZ020.pdf
https://media.supplychain.nhs.uk/media/documents/MJZ020/COSHH/66426_MJZ020_.pdf
https://media.supplychain.nhs.uk/media/documents/MJZ020/COSHH/66427_MJZ020_1.pdf",67-63-0,70,,,,,,,,,,,,,,,,,,,,,,
Detergents disinfectants and laundry consumables?(24),Spill kit?(7),,Spill kit Refill for urine & vomit spill kit containing 1 x 250g biocide absorbent granules 1 x 250ml biocide spray 6 x pairs of nitrile gloves 6 x disinfectant surface wipes 6 x scoops/scrapers 6 x clinical waste bags 6 x aprons 1 x instruction poster,-,MJZ021,"https://media.supplychain.nhs.uk/media/documents/MJZ021/COSHH/66428_MJZ021.pdf
https://media.supplychain.nhs.uk/media/documents/MJZ021/COSHH/66429_MJZ021_.pdf
https://media.supplychain.nhs.uk/media/documents/MJZ021/COSHH/66430_MJZ021_1.pdf",67-63-0,70,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe alcohol based (21),,Wipe alcohol based Food probe 70% alcohol 23gsm 135mm x 125mm 200 wipes per canister class iia medical device ,Liquid,MLC145 ,https://media.supplychain.nhs.uk/media/documents/MLC145/COSHH/62788_MLC145.pdf,67-63-0,60 to 80,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipes (1),,Wipes Probe/surface wipes tub ,-,MLC306 ,,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Hand and face individually wrapped 18gsm 190 x 145mm 2000 wipes per pack alcohol free antibacterial ,Liquid,MLC333 ,https://media.supplychain.nhs.uk/media/documents/MLC333/COSHH/63912_MLC333.pdf,57-09-0,0.5,55965-84-9,<0.0015,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Hands flow wrap 22gsm 200 x 193mm 28 wipes per pack disinfectant ,-,MLC334 ,,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Bucket 28gsm 200 x 300mm 500 wipes per bucket ,Wipe,MLC335 ,https://media.supplychain.nhs.uk/media/documents/MLC335/COSHH/63924_MLC335.pdf,67-63-0,>60,,,,,,,,,,,,,,,,,,,,,,
Dishwashing products?(46),Destainer?(3),7.6154E+12,Destainer K2 10kg,-,MPA095,https://media.supplychain.nhs.uk/media/documents/MPA095/COSHH/73603_MPA095.pdf,497-19-8,30 to 50,15630-89-4,20 to 30,6834-92-0,3 to 10,1344-09-8,3 to 10,8042-47-5,1 to 3,90194-45-9,1 to 3,,,,,,,,,,,,
Advanced infection control solutions (91),Disinfectant?(1),,Disinfectant Bottle 5000ml for general skin disinfection and hard surface disinfection,-,MRA240,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),4.02816E+12,Environmental disinfection Chlorine releasing NaDCC disinfectant tablets with detergent 150 x 1.7g,Tablet,MRB1016 ,https://media.supplychain.nhs.uk/media/documents/MRB1016/COSHH/66552_MRB1016.pdf,2893-78-9,50 to 100,124-04-9,20 to 25,497-19-8,3 to 5,25155-30-0,1 to 2.5,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Irrigation Fluid?(8),,Irrigation Fluid 0.9% Sodium Chloride solution bottle 250ml ,-,MRB1028 ,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Irrigation Fluid?(8),,Irrigation Fluid 0.9% Sodium Chloride solution wipes 2000 wipes per pack ,-,MRB1029 ,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Nail varnish remover?(2),,Nail varnish remover Pads 100 packs of 100 pads ,-,MRB1056 ,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Irrigation Fluid?(8),,Irrigation Fluid 0.9% Sodium Chloride cleansing wipes 100 wipes per pack ,-,MRB1088 ,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin Disinfectant BIOCIDE?(8),,Skin Disinfectant BIOCIDE Bottle 200ml chlorhexidene digluconate 2% IPA 70% ,Liquid,MRB1089 ,https://media.supplychain.nhs.uk/media/documents/MRB1089/COSHH/64311_MRB1089.pdf,67-63-0 ,50 to 100,18472-51-0,0 to 2.5,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin Disinfectant BIOCIDE?(8),,Skin Disinfectant BIOCIDE Bottle 500ml chlorhexidine 2% in 70% IPA,Liquid,MRB1090 ,https://media.supplychain.nhs.uk/media/documents/MRB1090/COSHH/64312_MRB1090.pdf,67-63-0 ,50 to 100,18472-51-0,0 to 2.5,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin Disinfectant BIOCIDE?(8),,Skin Disinfectant BIOCIDE Bottle 125ml chlorhexidine gluconate 4% w/v ,Liquid,MRB1134 ,https://media.supplychain.nhs.uk/media/documents/MRB1134/COSHH/64941_MRB1134.pdf,67-63-0 ,10,18472-51-0,4,308062-28-4,0.9,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Irrigation Fluid?(8),,Irrigation Fluid 0.9% sodium chloride solution pod 20ml 25 pods per pack ,-,MRB1140 ,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Skin Disinfectant BIOCIDE?(8),,Skin Disinfectant BIOCIDE Bottle 120ml chlorhexidine digluconate 2% in 70% ipa red ,Liquid,MRB1143 ,https://media.supplychain.nhs.uk/media/documents/MRB1143/COSHH/66073_MRB1143.pdf,67-63-0 ,50 to 100,18472-51-0,0 to 2.5,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Flow wrap 50gsm 151mm x 200mm 40 wipes per pack maceratable ,Liquid/Wipes,MRB1173 ,https://media.supplychain.nhs.uk/media/documents/MRB1173/COSHH/71987_MRB1173%20-%20MK1383%20M.S.D.S.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Flow wrap 50gsm 151mm x 200mm 60 wipes per pack maceratable ,Liquid/Wipes,MRB1174 ,https://media.supplychain.nhs.uk/media/documents/MRB1174/COSHH/71988_MRB1174%20-%20MK1383%20M.S.D.S.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Flow wrap 50gsm 216mm x 200mm 40 wipes per pack maceratable ,Liquid/Wipes,MRB1175 ,https://media.supplychain.nhs.uk/media/documents/MRB1175/COSHH/71989_MRB1175%20-%20MK1386%20M.S.D.S.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Flow wrap 50gsm 216mm x 200mm 60 wipes per pack maceratable ,Liquid/Wipes,MRB1176 ,https://media.supplychain.nhs.uk/media/documents/MRB1176/COSHH/71990_MRB1176%20-%20MK1386%20M.S.D.S.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Flow wrap 50gsm 250mm x 240mm 60 wipes per pack maceratable ,Liquid/Wipes,MRB1177 ,https://media.supplychain.nhs.uk/media/documents/MRB1177/COSHH/71991_MRB1177%20-%20MK1389%20M.S.D.S.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Flow wrap 50gsm 151mm x 200mm 10 wipes per pack flushable dispersible maceratable ,Liquid/Wipes,MRB1178 ,https://media.supplychain.nhs.uk/media/documents/MRB1178/COSHH/71992_MRB1178%20-%20MK1382%20M.S.D.S.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Flow wrap 45gsm 151mm x 200mm 40 wipes per pack ,Liquid/Wipes,MRB1179 ,https://media.supplychain.nhs.uk/media/documents/MRB1179/COSHH/71994_MRB1179%20-%20MK1385%20M.S.D.S.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Flow wrap 45gsm 151mm x 200mm 60 wipes per pack ,Liquid/Wipes,MRB1180 ,https://media.supplychain.nhs.uk/media/documents/MRB1180/COSHH/71995_MRB1180%20-%20MK1385%20M.S.D.S.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Flow wrap 45gsm 216mm x 200mm 40 wipes per pack ,Liquid/Wipes,MRB1181 ,https://media.supplychain.nhs.uk/media/documents/MRB1181/COSHH/71996_MRB1181%20-%20MK1388%20M.S.D.S.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Flow wrap 45gsm 216mm x 200mm 60 wipes per pack ,Liquid/Wipes,MRB1182 ,,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Flow wrap 45gsm 250mm x 240mm 60 wipes per pack ,Liquid/Wipes,MRB1183 ,,,,,,,,,,,,,,,,,,,,,,,,,
Wipes?(168),Wipe Patient Wet (51),,Wipe Patient Wet Flow wrap 45gsm 151mm x 200mm 10 wipes per pack ,Liquid/Wipes,MRB1184 ,,,,,,,,,,,,,,,,,,,,,,,,,
